BeerID,Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,SugarScale,BrewMethod
17894,Belgian Pale Ale,Irish Pale Ale,25.0,1.057,1.014,5.61,35.26,9.5,30.0,60,1.048,75.0,Specific Gravity,BIAB
17914,Dabbling Monk,Irish Pale Ale,24.61,1.044,1.011,4.37,24.4,3.51,34.07,60,1.032,75.0,Specific Gravity,All Grain
17922,Hornswoggle,Irish Red Ale,39.75,1.052,1.0090000000000001,5.66,22.96,17.59,45.42,60,1.046,70.0,Specific Gravity,All Grain
18037,Student's Stout,Irish Dry Stout,41.6,1.042,1.01,4.11,42.63,30.07,52.4,60,1.033,84.0,Specific Gravity,All Grain
18038,Viena (perro rojo),Irish Lager,45.0,1.052,1.012,5.25,20.7,12.87,53.0,60,1.044,80.0,Specific Gravity,All Grain
18058,Cream Ale - Blueberry,Irish Cream Ale,20.82,1.054,1.0090000000000001,5.93,17.07,4.78,30.28,60,1.037,80.0,Specific Gravity,All Grain
18062,Mexican Lager,Irish Lager,9.46,1.053,1.0170000000000001,4.72,13.65,5.1,13.25,30,1.038,35.0,Specific Gravity,extract
18083,Creme de la Cream Ale,Irish Cream Ale,20.82,1.042,1.013,3.77,23.49,7.11,11.36,60,1.077,42.0,Specific Gravity,Partial Mash
18087,IgelStuten,Irish Dry Stout,25.0,1.047,1.0090000000000001,4.96,36.75,33.29,30.0,60,1.0390000000000001,70.0,Specific Gravity,All Grain
18104,Scream Ale,Irish Cream Ale,25.0,1.044,1.01,4.48,16.78,5.86,32.0,60,1.034,59.0,Specific Gravity,All Grain
18135,Bootleg Glory,Irish Red Ale,475.0,1.053,1.01,5.68,23.85,14.88,490.0,60,1.052,75.0,Specific Gravity,All Grain
18139,Brooklyn Lager,Irish Lager,22.0,1.0590000000000002,1.0170000000000001,5.43,37.81,8.9,28.5,75,1.045,74.0,Specific Gravity,All Grain
18143,Peach Pit Saison,Irish Pale Ale,20.82,1.054,1.011,5.65,24.35,5.21,24.61,60,1.046,70.0,Specific Gravity,All Grain
18152,One Eyed Cream second shot,Irish Cream Ale,37.85,1.047,1.015,4.29,26.97,7.41,45.42,60,1.0390000000000001,70.0,Specific Gravity,All Grain
18156,2 way golden sour,Irish Pale Ale,50.0,1.05,1.012,5.06,4.26,4.94,56.0,90,1.045,85.0,Specific Gravity,All Grain
18169,Irish Bulldog Red,Irish Red Ale,39.75,1.056,1.014,5.5,21.54,17.41,43.91,60,1.05,70.0,Specific Gravity,All Grain
18196,Bubba's Lean,Irish Lager,23.66,1.051,1.013,4.95,21.08,10.39,28.39,90,1.042,65.0,Specific Gravity,All Grain
18203,R & C Cream Ale,Irish Cream Ale,22.71,1.046,1.008,4.98,19.91,2.68,28.39,90,1.037,73.0,Specific Gravity,BIAB
18215,4th of July Cream Ale,Irish Cream Ale,20.82,1.048,1.01,5.02,21.4,4.2,24.61,60,1.041,75.0,Specific Gravity,BIAB
18219,Hoppy Irish Red,Irish Red Ale,22.71,1.052,1.015,4.94,48.18,16.76,28.39,60,1.042,70.0,Specific Gravity,All Grain
18221,Red,Irish Red Ale,160.0,1.044,1.012,4.14,23.36,10.94,180.0,60,1.0390000000000001,70.0,Specific Gravity,All Grain
18227,HONEY DILUIDA,Irish Cream Ale,2205.0,1.06,1.01,6.55,10.19,6.16,2315.0,60,1.057,80.0,Specific Gravity,All Grain
18235,Czech Amber Lager,Irish Lager,11.36,1.0490000000000002,1.012,4.86,35.87,17.05,18.93,90,1.03,70.0,Specific Gravity,All Grain
18239,Patersbier,Irish Pale Ale,22.71,1.0390000000000001,1.0090000000000001,4.0,0.0,2.51,30.28,90,1.03,80.0,Specific Gravity,All Grain
18245,Cream Ale,Irish Cream Ale,14.0,1.048,1.0090000000000001,5.13,19.06,3.24,19.5,60,1.035,70.0,Specific Gravity,BIAB
18253,Jean-Claude Van Damme - belgian ipa,Irish Pale Ale,20.0,1.067,1.016,6.69,78.33,15.13,30.0,60,1.045,70.0,Specific Gravity,BIAB
18282,Candee Cream Ale,Irish Cream Ale,20.82,1.045,1.013,4.27,20.99,2.9,28.39,60,1.033,70.0,Specific Gravity,All Grain
18335,Flame Stallion Ale,Irish Red Ale,18.93,1.087,1.025,8.15,27.31,14.67,24.61,60,1.067,68.0,Specific Gravity,All Grain
18344,Hippy Hair Heffe - Swayne,Irish Pale Ale,18.93,1.0270000000000001,1.008,2.43,15.86,4.21,15.14,60,1.034,35.0,Specific Gravity,Partial Mash
