BeerID,Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,SugarScale,BrewMethod
1,Vanilla Cream Ale,Irish Cream Ale,21.77,1.055,1.013,5.48,17.65,4.83,28.39,75,1.038,70.0,Specific Gravity,All Grain
8,Spotted Clown (New Glarus Spotted Cow clone),Irish Cream Ale,20.82,1.054,1.014,5.36,19.97,5.94,28.39,75,1.04,70.0,Specific Gravity,All Grain
43,Vanilla Caramel Cream Ale,Irish Cream Ale,18.93,1.055,1.014,5.43,33.67,10.08,15.14,60,1.042,70.0,Specific Gravity,extract
86,Leffe Blonde Clone v2,Irish Pale Ale,18.93,1.07,1.02,6.47,23.28,5.93,7.57,60,1.1740000000000002,50.0,Specific Gravity,extract
113,Brooklyn Lager clone,Irish Lager,5.0,1.06,1.0170000000000001,5.65,34.79,11.92,7.0,60,1.043,57.0,Specific Gravity,All Grain
123,Smithwick's Irish Ale,Irish Red Ale,18.93,1.046,1.011,4.5,0.0,16.76,24.61,75,1.042,75.0,Specific Gravity,All Grain
169,Basic Irish Red Ale,Irish Red Ale,18.93,1.053,1.015,5.03,28.85,16.42,24.61,90,1.041,75.0,Specific Gravity,All Grain
175,They Stole Our Fleg - Irish Red,Irish Red Ale,21.0,1.046,1.008,4.98,26.72,9.67,28.0,90,1.035,75.0,Specific Gravity,All Grain
178,Raging Red Irish Red Ale,Irish Red Ale,20.82,1.055,1.015,5.22,34.36,15.23,28.39,60,1.035,72.0,Specific Gravity,All Grain
200,Cream of Three Crops,Irish Cream Ale,20.82,1.044,1.012,4.15,18.13,2.56,17.03,90,1.042,75.0,Specific Gravity,BIAB
206,Bruxelles Blonde Clone (?),Irish Pale Ale,3.79,1.056,1.013,5.63,19.2,4.77,4.73,60,1.042,70.0,Specific Gravity,All Grain
225,' #1 Irish Red Ale (killians clone),Irish Red Ale,19.87,1.0490000000000002,1.0090000000000001,5.2,20.68,13.91,11.36,50,1.0859999999999999,35.0,Specific Gravity,extract
239,Kilkenny Clone 5 GAL,Irish Red Ale,20.82,1.053,1.014,5.13,27.22,12.01,28.39,90,1.0390000000000001,65.0,Specific Gravity,All Grain
241,BC Irish Red,Irish Red Ale,20.0,1.0490000000000002,1.011,5.03,14.92,20.24,9.0,75,1.109,50.0,Specific Gravity,Partial Mash
244,Sleeman Cream Ale Clone,Irish Cream Ale,20.8,1.055,1.015,5.22,19.73,4.74,28.4,60,1.042,70.0,Specific Gravity,All Grain
280,Belgian Red,Irish Red Ale,15.14,1.054,1.011,5.64,34.63,15.66,18.93,60,1.044,85.0,Specific Gravity,All Grain
312,Red November,Irish Red Ale,22.71,1.054,1.015,5.22,26.43,18.3,29.34,60,1.042,71.0,Specific Gravity,All Grain
330,Jeremiah Red Clone,Irish Red Ale,18.93,1.068,1.014,7.07,0.0,16.04,24.61,60,1.042,75.0,Specific Gravity,All Grain
341,Mexican vienna (Victoria Clone),Irish Lager,170.34,1.044,1.011,4.32,22.25,7.19,179.81,90,1.041,70.0,Specific Gravity,All Grain
368,Orange Blossom Cream Ale,Irish Cream Ale,18.93,1.056,1.0170000000000001,5.06,14.74,4.98,11.36,60,1.042,72.0,Specific Gravity,Partial Mash
377,Smithwicks Clone,Irish Red Ale,18.93,1.061,1.016,5.8,36.2,17.43,11.36,60,1.101,45.0,Specific Gravity,extract
386,Vanilla Cream Ale - 009,Irish Cream Ale,18.93,1.088,1.02,8.95,38.58,33.19,18.93,60,1.042,70.0,Specific Gravity,extract
388,Cali' Creamin' Clone,Irish Cream Ale,18.93,1.052,1.011,5.38,27.92,6.1,23.66,75,1.042,63.0,Specific Gravity,All Grain
397,Kilkenny Irish Cream Ale Clone,Irish Red Ale,20.82,1.054,1.013,5.34,29.37,27.63,24.61,60,1.046,70.0,Specific Gravity,All Grain
430,18/06/2017 Red Ale,Irish Red Ale,40.0,1.0590000000000002,1.01,6.4,31.19,14.04,46.0,60,1.051,75.0,Specific Gravity,All Grain
445,"Spotted Cow  ""Clone""",Irish Cream Ale,18.93,1.0490000000000002,1.013,4.7,0.0,4.2,21.65,60,1.042,75.0,Specific Gravity,Partial Mash
461,Winter Maple Cream Ale,Irish Cream Ale,20.82,1.075,1.0190000000000001,7.34,8.54,15.48,28.39,60,1.055,75.0,Specific Gravity,All Grain
469,Irish Red Ale (8 weeks),Irish Red Ale,21.0,1.051,1.014,4.93,42.4,19.98,25.0,60,1.043,70.0,Specific Gravity,All Grain
482,Cream ale,Irish Cream Ale,20.82,1.061,1.0170000000000001,5.79,27.1,4.32,11.36,60,1.042,75.0,Specific Gravity,extract
485,Three Micks Irish Red Ale 1.2,Irish Red Ale,20.82,1.0590000000000002,1.015,5.66,25.49,18.39,26.5,60,1.046,70.0,Specific Gravity,All Grain
559,Red beard's delight,Irish Red Ale,17.98,1.054,1.011,5.72,28.27,17.67,18.93,60,1.052,60.0,Specific Gravity,All Grain
562,Irish Red Ale-BIAB,Irish Red Ale,18.93,1.062,1.02,5.48,28.16,22.28,22.71,60,1.052,70.0,Specific Gravity,BIAB
564,Belgian Pale Ale,Irish Pale Ale,45.0,1.051,1.011,5.24,30.54,13.16,54.0,70,1.043,78.0,Specific Gravity,All Grain
567,Brooklyn Lager clone (Brooklyn Brewery),Irish Lager,20.82,1.055,1.015,5.27,35.16,9.1,27.25,75,1.042,72.0,Specific Gravity,All Grain
572,Kiwanda Cream Ale,Irish Cream Ale,22.71,1.048,1.008,5.21,16.67,3.08,30.28,90,1.03,72.0,Specific Gravity,All Grain
575,I See Red Ale,Irish Red Ale,18.93,1.052,1.012,5.18,19.2,17.92,24.61,60,1.04,70.0,Specific Gravity,BIAB
611,Bakke Brygg Belgisk Pale Ale 25L,Irish Pale Ale,25.0,1.052,1.01,5.48,30.89,5.8,28.0,90,1.046,72.5,Specific Gravity,All Grain
612,NixonBrew - Yuengling Lager Clone,Irish Lager,18.93,1.052,1.01,5.54,13.74,12.65,26.5,60,1.037,70.0,Specific Gravity,All Grain
614,Lily's Irish Red Ale - Sam Adams Clone,Irish Red Ale,18.93,1.071,1.02,6.68,44.32,27.44,30.28,90,1.044,70.0,Specific Gravity,All Grain
628,Taras Boulba Clone,Irish Pale Ale,8.0,1.047,1.013,4.37,70.74,3.08,11.0,70,1.034,60.0,Specific Gravity,BIAB
673,Brooklyn Lager Clone BYO,Irish Lager,50.0,1.057,1.0170000000000001,5.31,35.74,9.08,60.0,60,1.048,70.0,Specific Gravity,All Grain
676,Thick-Assed Ginger Lass,Irish Red Ale,20.82,1.058,1.016,5.52,20.78,17.32,26.5,60,1.045,70.0,Specific Gravity,All Grain
734,Vienna Lager,Irish Lager,20.82,1.056,1.016,5.3,22.87,9.6,26.5,60,1.044,70.0,Specific Gravity,All Grain
739,Bakke Brygg Irish Red Ale 20 l,Irish Red Ale,20.0,1.052,1.013,5.19,23.47,15.3,24.0,60,1.043,72.0,Specific Gravity,All Grain
808,Crown Jewel Trappist Style Ale,Irish Pale Ale,20.82,1.052,1.015,4.84,27.78,10.27,11.36,60,1.042,25.0,Specific Gravity,extract
816,Belgian Blonde,Irish Pale Ale,20.0,1.061,1.0170000000000001,5.75,30.61,8.66,26.5,60,1.042,80.0,Specific Gravity,All Grain
841,Schoenling Little Kings,Irish Cream Ale,9.46,1.054,1.012,5.53,21.21,3.13,11.36,60,1.042,75.0,Specific Gravity,All Grain
866,Cram Ale,Irish Cream Ale,22.71,1.055,1.0090000000000001,5.99,24.82,3.12,30.28,90,1.041,75.0,Specific Gravity,All Grain
869,' #1 Amber lager,Irish Lager,18.93,1.0490000000000002,1.0090000000000001,5.32,19.92,10.16,13.25,60,1.071,35.0,Specific Gravity,extract
872,Cream Of Three Crops,Irish Cream Ale,18.93,1.041,1.012,3.9,20.08,2.65,24.61,60,1.042,70.0,Specific Gravity,All Grain
891,Irish red ale,Irish Red Ale,20.82,1.051,1.013,5.0,28.64,16.06,28.39,60,1.037,70.0,Specific Gravity,All Grain
893,Cream Ale - Prohibition Style,Irish Cream Ale,18.93,1.053,1.015,4.97,17.41,3.23,26.5,60,1.038,70.0,Specific Gravity,All Grain
894,Jalapeno Popper Ale,Irish Cream Ale,41.64,1.048,1.014,4.58,33.36,3.43,47.32,60,1.043,70.0,Specific Gravity,BIAB
925,Belgian Table Beer,Irish Pale Ale,20.82,1.0490000000000002,1.012,4.8,19.56,4.84,28.39,90,1.036,69.0,Specific Gravity,All Grain
927,Ginger Rage - Imperial Irish Red Ale,Irish Red Ale,39.75,1.0759999999999998,1.021,7.28,36.59,13.7,47.32,90,1.042,80.0,Specific Gravity,All Grain
928,Pussy Beer Summer Ale,Irish Cream Ale,20.82,1.054,1.015,5.14,23.22,3.1,13.25,60,1.085,70.0,Specific Gravity,Partial Mash
933,Cream Ale with corn meal brewed 03-11-2014...,Irish Cream Ale,43.53,1.043,1.012,4.09,17.06,2.63,49.21,60,1.038,70.0,Specific Gravity,All Grain
937,Irish Red,Irish Red Ale,18.93,1.058,1.016,5.42,35.91,15.5,26.5,60,1.042,70.0,Specific Gravity,All Grain
942,Belgian Pale Ale,Irish Pale Ale,14.0,1.053,1.013,5.26,22.56,8.6,17.0,60,1.044,79.0,Specific Gravity,BIAB
950,Canned Starter,Irish Cream Ale,2.27,1.035,1.0090000000000001,3.45,0.0,3.41,2.27,60,1.035,35.0,Specific Gravity,extract
967,Tommys red,Irish Red Ale,23.0,1.051,1.013,4.98,20.77,13.7,28.5,60,1.041,69.0,Specific Gravity,All Grain
987,Irish Sunset,Irish Red Ale,21.0,1.052,1.012,5.27,30.16,13.96,28.5,75,1.038,60.0,Specific Gravity,All Grain
999,Cream O' da CrOPS,Irish Cream Ale,10.41,1.045,1.013,4.28,16.37,2.25,14.2,60,1.033,94.0,Specific Gravity,BIAB
1008,CREAMY CREAM ALE,Irish Cream Ale,22.71,1.051,1.013,4.96,18.56,3.07,28.39,60,1.04,75.0,Specific Gravity,All Grain
1010,Red Irish Oops,Irish Red Ale,22.71,1.06,1.016,5.76,36.91,16.86,11.36,60,1.12,40.0,Specific Gravity,extract
1134,Caramel Vanilla Cream Ale,Irish Cream Ale,18.93,1.055,1.013,5.51,22.31,6.53,9.46,55,1.042,35.0,Specific Gravity,extract
1140,Summer Lolly - Orange Vanilla Cream Ale,Irish Cream Ale,7.57,1.053,1.012,5.35,26.97,4.62,12.11,60,1.042,70.0,Specific Gravity,All Grain
1170,Grandad - Chocolate Stout,Irish Dry Stout,21.0,1.043,1.01,4.35,34.12,35.96,28.0,90,1.033,75.0,Specific Gravity,All Grain
1174,Belgian White Ale,Irish Pale Ale,18.93,1.055,1.013,5.45,16.92,4.22,15.14,60,1.042,40.0,Specific Gravity,extract
1200,Kentucky Common Dark Cream Ale,Irish Cream Ale,9.46,1.044,1.012,4.12,23.59,8.42,10.41,60,1.042,75.0,Specific Gravity,All Grain
1204,Weed Feed and Mow,Irish Cream Ale,41.64,1.055,1.013,5.49,17.65,4.76,47.32,90,1.044,75.0,Specific Gravity,All Grain
1271,Summer Daze,Irish Cream Ale,22.71,1.044,1.0090000000000001,4.56,17.31,4.23,26.5,60,1.038,75.0,Specific Gravity,BIAB
1309,Alabama Red Ale,Irish Red Ale,20.82,1.064,1.018,6.11,18.15,15.95,28.39,60,1.047,68.0,Specific Gravity,BIAB
1313,All Grain Cream Ale,Irish Cream Ale,37.85,1.0490000000000002,1.012,4.79,0.0,3.31,39.75,60,1.042,80.0,Specific Gravity,All Grain
1314,Affligem Blond,Irish Pale Ale,17.0,1.063,1.015,6.26,29.96,5.02,22.0,90,1.0490000000000002,60.0,Specific Gravity,BIAB
1383,De Ranke XX Bitter Clone,Irish Pale Ale,9.5,1.057,1.012,5.88,80.54,3.24,9.5,60,1.057,63.0,Specific Gravity,BIAB
1384,En Ri Red,Irish Red Ale,605.67,1.055,1.012,5.59,18.31,14.04,609.45,60,1.054,72.0,Specific Gravity,Partial Mash
1397,Chocolate Peanut Butter Stout,Irish Dry Stout,18.93,1.065,1.014,6.69,53.96,33.28,9.46,60,1.131,35.0,Specific Gravity,extract
1412,Smithwick's Irish Red Ale Clone,Irish Red Ale,20.0,1.048,1.013,4.62,20.51,16.14,22.6,60,1.043,78.0,Specific Gravity,All Grain
1436,Sunday  Bloody Sunday,Irish Red Ale,18.93,1.055,1.015,5.15,33.45,16.38,30.28,60,1.042,65.0,Specific Gravity,BIAB
1443,Irish Red Ale Iffy,Irish Red Ale,20.0,1.05,1.014,4.75,28.54,14.69,20.0,90,1.05,75.0,Specific Gravity,BIAB
1449,Mexican beer,Irish Lager,20.82,1.053,1.013,5.21,28.79,10.69,28.39,60,1.0390000000000001,70.0,Specific Gravity,All Grain
1453,Hoppy Red Ale,Irish Red Ale,24.0,1.052,1.013,5.09,29.55,12.59,10.0,60,1.042,50.0,Specific Gravity,extract
1464,Orange vanilla Carmel cream ale,Irish Cream Ale,19.87,1.064,1.014,6.54,25.45,6.95,11.36,60,1.042,70.0,Specific Gravity,extract
1483,Brooklyn lager,Irish Lager,18.93,1.053,1.015,5.04,27.35,8.23,28.39,75,1.036,74.0,Specific Gravity,All Grain
1491,Bewitched Red Amber Ale,Irish Red Ale,9.46,1.04,1.012,3.7,0.0,7.0,5.68,20,1.042,75.0,Specific Gravity,extract
1510,Cream your pants,Irish Cream Ale,18.93,1.046,1.012,4.45,10.62,2.44,28.39,60,1.03,80.0,Specific Gravity,All Grain
1515,Boston lager,Irish Lager,20.82,1.052,1.013,5.1,23.09,11.3,28.39,60,1.042,78.0,Specific Gravity,All Grain
1539,Horchata,Irish Cream Ale,18.93,1.054,1.015,5.07,24.16,4.86,18.55,60,1.055,35.0,Specific Gravity,Partial Mash
1565,Irish Red Ale,Irish Red Ale,20.82,1.064,1.0170000000000001,6.16,25.95,17.05,15.9,60,1.042,72.0,Specific Gravity,extract
1568,Red Oktober,Irish Red Ale,20.82,1.042,1.011,4.12,22.86,12.58,11.36,60,1.042,70.0,Specific Gravity,extract
1607,Jeff's Cream Ale,Irish Cream Ale,41.64,1.05,1.01,5.21,18.05,3.49,53.0,60,1.0390000000000001,85.0,Specific Gravity,All Grain
1632,Irish Red Ale #1,Irish Red Ale,18.93,1.044,1.01,4.51,27.07,14.13,9.46,60,1.042,35.0,Specific Gravity,extract
1636,Belgian Pale Ale with Munich,Irish Pale Ale,18.93,1.0490000000000002,1.0090000000000001,5.24,14.99,6.78,24.61,90,1.042,70.0,Specific Gravity,All Grain
1646,Red X Lager,Irish Lager,13.25,1.048,1.011,4.89,34.25,11.87,17.03,60,1.037,78.0,Specific Gravity,BIAB
1656,Unibroue's Raftman clone,Irish Pale Ale,18.93,1.052,1.011,5.36,19.62,9.59,22.71,90,1.043,70.0,Specific Gravity,All Grain
1685,Foundation Red #2,Irish Red Ale,37.85,1.056,1.012,5.81,21.22,13.67,45.42,60,1.047,70.0,Specific Gravity,All Grain
1720,Lakefront Brewery Fixed Gear Clone,Irish Red Ale,20.82,1.067,1.012,7.14,45.52,12.56,28.39,90,1.0490000000000002,80.0,Specific Gravity,All Grain
1748,'Dry Hopped up' Irish Red,Irish Red Ale,20.82,1.054,1.015,5.07,21.82,14.06,15.14,60,1.0390000000000001,35.0,Specific Gravity,extract
1781,Tex-Mex Vienna Lager V. 1.0,Irish Lager,20.82,1.0490000000000002,1.012,4.93,25.6,13.91,26.5,90,1.042,70.0,Specific Gravity,All Grain
1805,Gypsy Tears,Irish Red Ale,98.42,1.055,1.0170000000000001,5.02,15.74,14.89,126.81,120,1.043,70.0,Specific Gravity,All Grain
1809,Negra Modelo Clone,Irish Lager,18.93,1.06,1.015,5.87,0.0,20.96,23.47,60,1.048,75.0,Specific Gravity,All Grain
1846,Cream Ale,Irish Cream Ale,22.71,1.054,1.011,5.6,16.49,3.13,30.28,90,1.042,67.0,Specific Gravity,All Grain
1864,Vanilla Caramel Cream Ale,Irish Cream Ale,20.82,1.055,1.014,5.45,22.95,9.85,26.5,60,1.042,75.0,Specific Gravity,All Grain
1868,011 - Cream Ale,Irish Cream Ale,11.36,1.05,1.011,5.15,28.48,3.5,11.36,60,1.05,62.0,Specific Gravity,BIAB
1932,Irish Ale,Irish Red Ale,20.82,1.061,1.0170000000000001,5.72,18.87,17.97,11.73,60,1.042,80.0,Specific Gravity,Partial Mash
1943,Cream ale,Irish Cream Ale,20.82,1.042,1.01,4.3,18.21,3.44,26.5,60,1.042,75.0,Specific Gravity,BIAB
1962,Everyday Ale (196),Irish Cream Ale,23.1,1.047,1.011,4.74,22.43,3.34,28.0,60,1.0390000000000001,70.0,Specific Gravity,All Grain
1977,Evil Twin Clone,Irish Red Ale,20.82,1.062,1.015,6.12,19.99,21.11,26.5,90,1.048,70.0,Specific Gravity,All Grain
1981,Cream Ale,Irish Cream Ale,81.0,1.044,1.0070000000000001,4.79,16.51,2.51,92.0,90,1.0390000000000001,80.0,Specific Gravity,All Grain
1989,2015 Belgian Pale,Irish Pale Ale,24.61,1.055,1.012,5.63,26.93,8.12,30.28,90,1.045,78.0,Specific Gravity,All Grain
1991,Vienna Lager,Irish Lager,21.0,1.0490000000000002,1.013,4.8,24.83,16.03,25.0,90,1.042,75.0,Specific Gravity,BIAB
1997,Yuengling Clone,Irish Cream Ale,18.93,1.055,1.013,5.5,18.27,10.61,22.71,60,1.046,35.0,Specific Gravity,extract
2018,Home Run Red,Irish Red Ale,102.21,1.05,1.01,5.21,24.59,14.09,109.78,60,1.047,73.0,Specific Gravity,All Grain
2059,Mother of the Pride - Vienna Lager,Irish Lager,21.0,1.048,1.0070000000000001,5.42,26.41,12.4,30.0,90,1.034,75.0,Specific Gravity,All Grain
2070,Belgian Pale Ale,Irish Pale Ale,39.0,1.053,1.012,5.38,22.61,9.42,45.0,90,1.046,80.0,Specific Gravity,All Grain
2085,Raisin Hell Red Ale,Irish Red Ale,20.82,1.06,1.0170000000000001,5.6,35.79,14.76,13.25,60,1.094,70.0,Specific Gravity,Partial Mash
2105,Vienna Lager 1,Irish Lager,22.71,1.057,1.016,5.34,25.25,10.04,26.5,90,1.042,75.0,Specific Gravity,All Grain
2135,Vanilla Cream Ale,Irish Cream Ale,20.82,1.05,1.014,4.73,25.43,4.42,11.36,60,1.042,35.0,Specific Gravity,extract
2151,Patersbier,Irish Pale Ale,19.87,1.047,1.01,4.76,0.0,3.5,24.05,60,1.042,75.0,Specific Gravity,All Grain
2206,Evil Dead Red US V Clone,Irish Red Ale,18.93,1.054,1.01,5.76,0.0,18.29,26.5,30,1.042,75.0,Specific Gravity,All Grain
2210,Honey lemongrass lemonthyme rye ginger,Irish Red Ale,22.71,1.063,1.0190000000000001,5.78,9.67,10.14,26.5,60,1.042,70.0,Specific Gravity,All Grain
2224,Pelforth Brune(ish),Irish Pale Ale,21.0,1.062,1.014,6.28,22.81,20.68,28.5,60,1.046,70.0,Specific Gravity,All Grain
2246,Irish Red,Irish Red Ale,22.71,1.057,1.012,5.79,25.08,16.32,30.28,90,1.042,78.0,Specific Gravity,All Grain
2270,Ozz Red Ale 200,Irish Red Ale,200.0,1.045,1.01,4.53,15.55,13.69,210.0,60,1.041,70.0,Specific Gravity,All Grain
2295,Ode to Sleep - Coffee Cream Ale,Irish Cream Ale,22.71,1.063,1.011,6.75,54.68,7.44,26.5,60,1.054,81.0,Specific Gravity,All Grain
2315,Irish Red,Irish Red Ale,20.82,1.06,1.015,5.89,32.64,16.38,26.5,60,1.042,70.0,Specific Gravity,All Grain
2321,Red Ash Irish Ale,Irish Red Ale,10.6,1.051,1.014,4.84,38.53,10.39,14.2,60,1.038,65.0,Specific Gravity,All Grain
2323,...Because I'm... German,Irish Lager,22.71,1.051,1.014,4.8,26.61,11.98,26.5,90,1.042,71.0,Specific Gravity,All Grain
2358,Gard og Hallvors Irish red,Irish Red Ale,18.0,1.061,1.0170000000000001,5.73,3.41,26.22,5.0,60,1.042,75.0,Specific Gravity,Partial Mash
2377,Hoppy Cream Ale,Irish Cream Ale,20.82,1.056,1.012,5.88,87.78,3.26,28.39,60,1.041,75.0,Specific Gravity,BIAB
2421,Rickards red clone,Irish Red Ale,20.82,1.053,1.011,5.55,23.27,11.46,28.39,60,1.0390000000000001,80.0,Specific Gravity,BIAB
2437,Dreamsicle Cream Ale,Irish Cream Ale,22.71,1.062,1.0190000000000001,5.58,12.5,4.62,26.5,60,1.047,70.0,Specific Gravity,All Grain
2474,Ranga Red Ale,Irish Red Ale,20.82,1.048,1.012,4.77,28.76,11.58,11.36,60,1.089,35.0,Specific Gravity,extract
2501,Irish Red4,Irish Red Ale,18.93,1.061,1.0170000000000001,5.81,38.19,18.84,26.5,60,1.043,70.0,Specific Gravity,All Grain
2503,Polka dotted bovine,Irish Cream Ale,15.14,1.0490000000000002,1.014,4.61,18.85,4.52,17.98,60,1.041,80.0,Specific Gravity,BIAB
2551,Fat Tire Clone,Irish Pale Ale,9.46,1.055,1.014,5.36,25.29,12.39,11.36,60,1.046,65.0,Specific Gravity,BIAB
2570,Coconut Cream Ale,Irish Cream Ale,20.82,1.045,1.014,4.05,0.0,5.67,28.39,60,1.033,72.0,Specific Gravity,All Grain
2574,Bull's Eye Red Ale,Irish Red Ale,20.82,1.054,1.014,5.28,29.39,13.23,9.46,60,1.042,75.0,Specific Gravity,extract
2585,Patjesbier,Irish Pale Ale,22.71,1.051,1.008,5.64,39.98,4.09,28.39,90,1.04,75.0,Specific Gravity,All Grain
2613,Yuengling Clone,Irish Lager,18.93,1.042,1.01,4.16,15.43,9.91,11.36,60,1.069,70.0,Specific Gravity,All Grain
2617,Guiness Clone x2.5 (Brewed 2/6/16),Irish Dry Stout,37.85,1.071,1.016,7.14,54.94,50.0,44.52,60,1.06,45.0,Specific Gravity,All Grain
2643,Makin'-Readheads (Honey-Ginger Red),Irish Red Ale,11.0,1.053,1.011,5.51,23.29,18.58,11.0,60,1.053,55.0,Specific Gravity,Partial Mash
2705,Rye Lager,Irish Lager,21.0,1.052,1.01,5.41,28.15,11.53,23.0,60,1.047,70.0,Specific Gravity,All Grain
2711,Avocado Cream Ale #1,Irish Cream Ale,3.79,1.0490000000000002,1.0090000000000001,5.23,20.78,3.25,5.68,60,1.033,70.0,Specific Gravity,All Grain
2724,Wit (hefeWeissen),Irish Pale Ale,25.0,1.053,1.012,5.31,16.81,3.83,30.0,90,1.042,75.0,Specific Gravity,BIAB
2754,Belgian Pale Ale,Irish Pale Ale,19.87,1.058,1.014,5.81,30.09,12.41,13.25,60,1.087,75.0,Specific Gravity,Partial Mash
2813,Fisher's Larger - REB'L Brewing,Irish Lager,20.82,1.048,1.011,4.92,21.46,13.47,28.39,60,1.042,70.0,Specific Gravity,All Grain
2818,Honey Smoked Abbey Ale,Irish Pale Ale,20.82,1.052,1.011,5.39,25.0,6.29,24.61,60,1.044,72.0,Specific Gravity,All Grain
2829,Canadian irish ale,Irish Red Ale,46.0,1.054,1.015,5.09,24.26,11.92,55.0,60,1.045,75.0,Specific Gravity,All Grain
2843,Jack's Snickerdoodle Cream Ale,Irish Cream Ale,20.82,1.062,1.02,5.52,25.32,6.19,30.28,90,1.042,40.0,Specific Gravity,All Grain
2866,Brew #005 - pale in a hurry,Irish Pale Ale,18.0,1.052,1.012,5.25,23.33,10.87,21.0,60,1.045,55.0,Specific Gravity,BIAB
2878,Shiny Head Red,Irish Red Ale,22.71,1.0659999999999998,1.018,6.29,27.12,20.32,27.44,60,1.054,65.0,Specific Gravity,All Grain
2883,Dry Stout,Irish Dry Stout,423.97,1.043,1.0070000000000001,4.73,44.74,39.37,469.39,60,1.0390000000000001,90.0,Specific Gravity,All Grain
2892,Belgian Saison No. 2,Irish Pale Ale,11.0,1.0590000000000002,1.013,6.09,28.75,3.88,10.0,60,1.042,35.0,Specific Gravity,extract
2916,Johnny O'Shultz Irish red,Irish Red Ale,20.82,1.06,1.0170000000000001,5.62,27.76,14.0,26.65,60,1.047,71.0,Specific Gravity,All Grain
2969,Vienna,Irish Lager,20.82,1.051,1.012,5.21,21.72,10.71,28.39,60,1.038,79.0,Specific Gravity,All Grain
2990,Sasquatch Brewing - Oregon Session Ale,Irish Cream Ale,20.82,1.048,1.0090000000000001,5.09,19.64,3.09,28.39,60,1.042,71.0,Specific Gravity,All Grain
2996,Dos Equis Amber Clone #1,Irish Lager,20.82,1.0490000000000002,1.012,4.87,21.39,10.3,30.28,90,1.034,75.0,Specific Gravity,All Grain
3035,Fire Eggs,Irish Pale Ale,23.0,1.052,1.013,5.11,29.98,8.94,32.0,60,1.037,65.0,Specific Gravity,BIAB
3052,Dinkey Creek Red,Irish Lager,45.42,1.054,1.014,5.23,30.41,15.89,53.0,60,1.042,64.0,Specific Gravity,All Grain
3084,Homeless refusal,Irish Red Ale,20.82,1.051,1.014,4.85,28.19,12.8,26.5,90,1.04,70.0,Specific Gravity,All Grain
3088,De koninck clone,Irish Pale Ale,20.82,1.057,1.014,5.57,31.71,14.34,11.36,60,1.104,35.0,Specific Gravity,extract
3096,NHC Belgian Pale Ale,Irish Pale Ale,20.82,1.054,1.012,5.46,28.72,8.19,26.5,60,1.042,76.0,Specific Gravity,All Grain
3153,Murphy's Stout Clone,Irish Dry Stout,18.93,1.055,1.014,5.4,24.32,50.0,28.39,60,1.037,70.0,Specific Gravity,All Grain
3164,2014 - 10/12 - Irish Red - v2,Irish Red Ale,20.82,1.0590000000000002,1.02,5.16,27.07,18.61,24.61,60,1.05,72.0,Specific Gravity,All Grain
3175,B0D Red Rocket Ale ? 03.27.15,Irish Red Ale,19.87,1.088,1.021,8.8,74.8,20.96,26.5,70,1.0659999999999998,83.0,Specific Gravity,BIAB
3178,Irish Red,Irish Red Ale,20.82,1.054,1.012,5.48,17.61,15.58,28.39,90,1.04,73.0,Specific Gravity,All Grain
3194,Saint Louis SMaSH Ale,Irish Cream Ale,18.93,1.0659999999999998,1.013,7.04,14.55,3.59,24.61,60,1.051,89.5,Specific Gravity,All Grain
3227,I Blue Cream Ale,Irish Cream Ale,19.87,1.0490000000000002,1.012,4.84,18.87,4.0,26.5,60,1.037,75.0,Specific Gravity,All Grain
3256,Irish Red Ale,Irish Red Ale,18.93,1.062,1.015,6.06,0.0,16.68,22.71,60,1.042,70.0,Specific Gravity,All Grain
3310,Belgian Blonde,Irish Pale Ale,22.0,1.0659999999999998,1.0170000000000001,6.38,22.85,4.5,28.5,60,1.051,70.0,Specific Gravity,All Grain
3312,Lc1 lawnmower cream ale,Irish Cream Ale,20.82,1.046,1.006,5.28,18.94,2.62,28.39,90,1.034,40.0,Specific Gravity,extract
3349,Samuel Adams Clone,Irish Lager,19.87,1.0490000000000002,1.012,4.89,31.63,14.04,13.25,35,1.074,60.0,Specific Gravity,BIAB
3359,Popcorn Cream Ale,Irish Cream Ale,18.93,1.043,1.011,4.23,0.0,3.17,18.93,60,1.042,78.0,Specific Gravity,All Grain
3363,Falconers Flight,Irish Cream Ale,18.93,1.07,1.013,7.45,42.27,5.53,24.61,60,1.054,75.0,Specific Gravity,All Grain
3392,N/A Irish  Red Ale,Irish Red Ale,20.82,1.043,1.012,4.07,24.2,17.21,28.39,60,1.042,70.0,Specific Gravity,All Grain
3395,Genny Screamers,Irish Cream Ale,22.71,1.051,1.012,5.23,14.9,3.99,28.39,90,1.042,73.0,Specific Gravity,All Grain
3429,Antwerp is where?,Irish Pale Ale,20.82,1.055,1.014,5.37,39.95,8.87,23.85,60,1.048,75.0,Specific Gravity,All Grain
3448,Irlandal? Stout(goffin),Irish Extra Stout,12.0,1.058,1.01,6.25,39.3,35.24,15.0,60,1.046,55.0,Specific Gravity,All Grain
3486,Strawberry Rhubarb Cream Ale,Irish Cream Ale,18.93,1.044,1.011,4.29,19.32,4.15,20.82,60,1.04,35.0,Specific Gravity,extract
